qid,pid,score,row_number
154777,5645152,9.7602,4407
489970,5544245,9.3581,3672
32821,1544964,9.9198,4697
954631,1623119,9.937,4734
836845,3857489,9.6299,4195
738579,1229303,10.0438,4944
585444,1061528,9.3124,3598
885484,3301407,9.8981,4652
898498,2340873,9.8682,4598
1054909,4492750,10.1274,5118
1053856,5154808,10.288399,5421
77872,6106932,9.9316,4726
218337,6198003,10.1317,5131
698613,1001019,9.9896,4833
193367,298252,9.5835,4101
917484,3713982,9.3707,3693
693233,7554367,10.3117,5458
836701,4620161,10.2928,5427
337755,4420831,9.424,3799
10626,2918681,10.3197,5487
762339,3106645,9.5316,3992
626002,4266487,10.32,5489
938212,2268488,9.7138,4326
569366,4655343,10.3137,5473
814269,6097810,10.3129,5465
179731,387096,10.1676,5198
918463,5973206,9.8367,4539
549265,613777,9.8893,4632
42092,1072057,9.9126,4678
1053881,2433294,9.9863,4825
334185,639375,10.313,5466
205376,3190204,10.1518,5168
74603,856405,9.4626,3870
334215,2853071,10.256,5372
105002,395265,10.3247,5497
343798,6580179,10.1034,5068
1046496,4307768,9.6865,4285
1177972,5881859,9.4532,3852
1028472,4680928,9.524,3978
1150522,1541616,9.8229,4509
1035032,4924637,9.9984,4858
561943,465287,10.1412,5142
447695,6193007,10.2849,5417
729582,690262,9.3487,3654
669432,1531918,9.8992,4654
958668,2818445,9.8186,4501
1024398,5207670,9.5962,4119
428431,1070524,10.1448,5145
903236,3810724,9.4352,3824
58133,748932,9.3592,3675
1057271,4260759,9.717796,4333
174389,3990658,9.8279,4520
47935,4077712,10.0997,5059
974761,3234649,10.1737,5210
1176380,6918588,9.5731,4079
676923,1974537,10.051399,4966
276277,1004664,9.5257,3983
51773,4112220,10.1402,5141
41639,512204,10.0413,4940
1036878,3040656,9.435399,3825
450619,5869626,10.0113,4888
336499,4112844,9.7676,4428
304504,6646383,9.6535,4233
723682,439648,9.577,4085
860988,2671124,9.3254,3617
1033309,3286721,9.3733,3698
950347,3568207,10.3135,5471
330306,1354541,10.0161,4895
698663,1697294,10.2647,5389
1176402,6916620,10.089,5038
174341,203322,9.4399,3832
496299,7859879,9.600098,4128
593264,2872466,10.2023,5267
87828,2113290,9.5991,4125
836555,2627210,10.2923,5426
640977,1439521,9.3703,3691
977144,5114633,10.0683,5000
1047724,3306389,9.3148,3602
1032423,5231558,9.4289,3811
449748,472072,9.4198,3788
1053867,4513421,9.466698,3883
331684,1493487,9.4665,3882
696015,996058,10.1799,5219
265028,2297664,9.8465,4559
549673,438211,9.685,4280
722304,963246,9.7689,4431
1042703,4990697,9.3947,3737
295303,1765788,9.9731,4796
166041,3937257,9.4372,3829
1061764,6126405,9.3613,3676
469810,1999240,9.8297,4525
526531,3237655,10.0622,4993
936379,3064325,10.0806,5021
252465,6181154,10.3129,5464
641791,5194925,10.2353,5331
865881,4015365,10.2743,5401
447922,1571665,9.305,3587
1047024,3496151,9.4267,3806
868520,4707489,9.6916,4290
180394,1025727,9.7823,4452
177931,5423698,9.4224,3796
64971,2849451,10.1117,5089
954356,4006050,10.1147,5097
753476,6065750,9.645,4218
345209,3427040,10.0148,4894
1170166,3848808,9.7087,4316
470886,3227923,9.5573,4051
521089,3444094,9.4287,3808
338291,342200,9.493499,3927
551258,1032801,9.4703,3892
83955,3823886,10.2638,5388
703972,134517,10.1717,5202
1170810,3196024,9.7702,4432
794300,2990997,9.4644,3874
918802,4321099,9.420199,3790
442588,3098810,10.165699,5191
366368,6404036,9.4314,3816
894306,4299840,9.5854,4104
443228,5582952,9.614,4161
176671,6245244,9.542599,4020
470877,6791487,10.3027,5443
651385,2863368,10.0306,4922
279312,6412567,9.6283,4193
279293,6499505,10.2154,5289
1034852,4432887,10.0431,4942
594684,6755615,9.811399,4489
962578,4244845,9.9626,4780
951497,2603481,10.048499,4955
877358,5426652,9.403998,3757
238750,5743142,9.5334,3995
550242,6855345,10.0726,5013
83639,4995021,10.132598,5134
135727,6211238,9.4336,3820
951250,3456386,9.686,4283
958734,4937408,9.844297,4554
264396,2934541,9.916,4686
178997,5152543,10.0784,5017
334875,6011258,9.8676,4595
993398,2475491,9.3904,3729
972524,3440664,9.414,3774
602385,5911958,10.028,4918
318502,5188203,9.984,4818
200172,2346430,9.5461,4030
154408,6360736,10.0572,4981
831216,5299042,10.2915,5424
498070,1001590,10.2562,5373
1060427,333100,10.3184,5485
339096,170881,10.2824,5413
823661,3802384,10.1786,5216
454918,3886562,9.5476,4035
197405,6344844,9.6686,4259
486821,8582386,9.8569,4579
441227,819120,9.9299,4718
866825,3372490,9.5134,3955
328269,106305,9.6623,4247
954125,3641799,10.3119,5459
226879,1530168,10.103699,5069
945160,4094127,9.7364,4365
762849,4260535,9.5895,4113
26445,6484087,10.0142,4892
936536,6096255,9.3085,3591
1033573,3593352,9.4813,3907
401755,1755271,10.308,5451
580788,4172458,9.9304,4721
1034393,4297864,9.5169,3960
186296,6241474,10.0075,4880
1138039,2728350,9.3435,3643
449681,891827,9.5222,3973
173229,5670235,9.852,4571
933081,3649292,9.4373,3830
936814,249469,10.0202,4903
954085,3188218,10.0175,4897
238958,5768612,9.8171,4499
1053769,3636268,9.869,4601
30707,1454425,9.4059,3760
10936,5672414,10.1384,5139
522600,6044814,10.1802,5220
431449,1009105,10.298,5436
429503,5421625,10.0902,5044
418042,6314571,9.546799,4031
28297,3953306,9.5155,3957
587662,6257826,10.147099,5150
944120,4523520,9.5398,4011
88951,2146938,10.083298,5030
506245,2539345,9.3447,3646
891910,3753825,9.52,3969
1035266,3412051,9.708,4315
1147834,1797440,9.9544,4768
754718,398243,9.5453,4026
575006,1458988,9.8313,4530
1048485,3313236,10.1984,5255
539585,1710570,9.9195,4695
30602,1284717,10.0493,4959
902579,5025634,9.9052,4667
506321,899611,9.7105,4320
509185,4692627,9.9587,4776
228930,2407430,10.0269,4915
595009,4204931,9.5349,4000
1160249,594719,9.9042,4664
508556,819134,9.5658,4064
1142947,2253936,9.4247,3804
200477,5684393,9.4763,3900
51238,6845636,9.7257,4348
769000,3761775,9.4616,3867
513483,6671008,9.3526,3663
174582,2063150,10.0557,4978
900742,2713507,9.441,3833
1030532,6304924,10.0296,4919
36992,2108185,9.939,4741
1059041,2151550,9.755699,4396
948317,2818759,9.6114,4152
