qid	pid	score,pid	query	score
1055978	4991855	8.782007217407227,
306088	3857469	9.044147491455078,
982586	4156875	8.965250968933105,
918921	3321569	9.047445297241211,
1019628	2730108	9.30487060546875,
433176	1334824	8.921666145324707,
1055147	2985307	8.801514625549316,
828357	4462158	9.236079216003418,
665327	1507328	9.025067329406738,
341732	6878596	8.89515495300293,
765421	2554558	8.305078506469727,
973306	2489280	9.903678894042969,
191504	6250292	8.732160568237305,
1042396	3865516	8.838976860046387,
143285	256720	8.89349365234375,
956526	4735310	8.728708267211914,
938038	3209400	8.733363151550293,
1031269	2598975	7.92591667175293,
1137423	2787474	8.765999794006348,
1034196	3767285	9.677974700927734,
323323	5491338	8.975325584411621,
917922	5151657	9.231220245361328,
765958	3121909	9.231220245361328,
951704	3928538	9.60295295715332,
540416	899632	8.679932594299316,
1034517	4294500	9.263776779174805,
1032491	2781356	9.279732704162598,
467634	1329614	8.710294723510742,
283664	5893952	8.662670135498047,
294597	346576	8.974640846252441,
1033421	4158441	8.960006713867188,
762450	4829400	8.689719200134277,
615379	1017139	9.094331741333008,
940070	2754289	8.626258850097656,
790672	6304774	8.853744506835938,
666966	1883647	8.951345443725586,
1055441	4873928	9.164774894714355,
1040115	4004124	8.71442985534668,
1056750	4865166	8.413040161132812,
810624	3324146	9.351245880126953,
1042807	4341369	8.968050956726074,
895903	2568826	9.079729080200195,
1057173	5122403	8.92553424835205,
1030897	4109933	8.416971206665039,
140583	4679436	9.474871635437012,
1154850	1122825	8.187067985534668,
900550	3226156	8.74831771850586,
1053601	4120892	9.323654174804688,
297181	5499247	8.893836975097656,
387454	989513	9.432096481323242,
254916	5554491	9.08034610748291,
180992	6166431	9.580068588256836,
1031628	4134746	9.155139923095703,
1034011	3180882	8.515984535217285,
957050	5420500	8.813141822814941,
1032428	3343586	9.287796020507812,
176917	4091700	9.205705642700195,
991376	5307118	8.124353408813477,
962192	3693573	8.60932445526123,
1036307	4666928	8.838865280151367,
214690	4398523	9.168386459350586,
424736	1829272	9.435470581054688,
1024115	3061700	8.561430931091309,
25421	2481149	9.540157318115234,
1068747	5929350	9.349942207336426,
89135	5394636	9.041717529296875,
959713	2820255	8.738743782043457,
463846	6759621	9.052484512329102,
421765	8208937	9.08069896697998,
619596	7824777	9.488713264465332,
