qid,pid,score,row_number
1034471,3120650,9.6694,4117
1043476,4118835,10.1163,4841
888241,4071783,9.929193,4517
615516,7106308,9.6019,3998
857952,5218784,10.211,5022
979699,2848877,9.8348,4374
1047725,3541250,9.4761,3782
525074,512963,9.9851,4611
341512,6012243,10.1351,4879
907008,4527209,9.484,3798
418130,6932874,9.9223,4506
795668,2622850,9.946,4542
1031098,3705051,10.1526,4916
1032891,2437346,9.5378,3897
828357,4462158,9.3368,3565
165964,893329,9.694999,4151
1056403,6090921,9.9811,4606
585092,801556,9.5734,3954
1140362,2506919,9.3816,3638
444977,1685204,9.4584,3764
1033934,6103142,9.7035,4166
918142,3141424,9.5028,3834
1054565,4027964,10.3196,5193
636677,2364065,9.6948,4150
616261,2207312,9.4284,3713
1033546,1515621,10.0877,4794
665207,221093,10.0848,4790
144587,6834877,9.8833,4441
974391,2874580,9.5175,3857
1031829,5007374,9.528598,3879
1054205,3107365,9.744498,4231
881781,3777184,10.3117,5186
972793,3594525,10.2847,5135
1037381,3283564,10.0302,4691
479832,2915814,9.5426,3904
898847,4093991,9.8069,4323
1038194,2779642,9.899,4479
944849,3784647,9.885,4445
608050,6894019,10.1154,4838
823473,2532836,10.0424,4714
448307,1808211,10.1115,4831
1032279,1054517,10.1376,4883
431263,1155867,10.0431,4717
1081566,5253243,9.378899,3633
1039836,2244642,9.329198,3551
959454,2411708,9.9253,4511
186607,3936697,10.1166,4842
761934,5107448,10.0995,4813
1000475,4986729,9.6866,4140
422564,2015828,10.0647,4753
965849,1421294,9.7585,4254
1138235,2710476,9.603,4003
1053285,3950030,9.6019,3999
1026406,4606899,9.4874,3805
1139106,2624820,9.754,4246
1043245,291975,9.518399,3859
723968,1043055,9.3071,3517
1030875,4969650,10.0273,4688
503608,535928,9.711,4179
1173894,7697800,9.8203,4347
1039525,4336675,9.896799,4473
732340,712826,10.1261,4860
830661,2477405,10.0162,4668
962821,4852106,10.1558,4921
534086,2035925,10.212,5025
1080793,2437061,9.7682,4262
1055327,3035236,9.655798,4096
1054753,3591223,9.9562,4558
1077955,2281967,10.0142,4666
937501,4734441,9.800895,4312
1056477,4129272,10.127,4862
1142752,2273040,10.2659,5101
1032329,2269881,10.0701,4764
1032707,3728877,9.5287,3881
950123,1155178,9.4947,3824
662100,6696382,9.484,3799
1071280,4052650,9.6851,4139
973093,5397993,9.6474,4080
539771,1662895,9.5829,3965
925873,2369071,10.1329,4876
1033421,4158441,9.3496,3581
702254,1715781,10.254,5080
1182112,1858485,9.9983,4637
1048866,3822651,10.2087,5018
970184,5359720,9.9008,4483
300640,6314947,9.530799,3884
1053743,2683170,9.3276,3547
927893,2955027,10.1661,4939
213706,275464,9.515898,3854
1048807,2493079,10.276,5124
976966,4027459,10.168,4944
92175,6492080,9.4644,3770
1173583,307915,9.8183,4345
430281,617677,10.2522,5078
671654,1782609,10.2041,5009
404895,877417,9.4087,3687
1034324,4728431,9.9329,4523
1054864,2430997,10.2562,5084
810624,3324146,9.3509,3589
865077,3427599,9.4772,3784
160613,5449418,9.6166,4030
900657,6104689,10.1303,4870
334466,3664375,9.506698,3841
1035525,2518918,9.5058,3838
470083,6205785,9.822199,4352
145761,1246483,9.6035,4006
387454,989513,9.3581,3600
765958,3121909,9.3436,3573
1045533,4645888,9.3193,3536
473850,6834367,9.6112,4017
541120,1003761,9.9181,4503
273111,1936749,9.5606,3931
167891,1148476,9.5438,3908
1038361,4681345,9.853799,4398
889195,5009647,10.279199,5126
917692,3668256,10.2897,5146
1042760,3169554,10.3043,5171
181959,4699870,9.5508,3918
1053953,6099604,10.2723,5116
746538,1210593,10.2031,5005
1038916,3272904,9.3315,3557
1036459,2322451,9.6848,4138
652139,4578229,9.8213,4349
517348,152326,9.454,3758
1055518,4584180,9.9552,4556
1141177,2425971,9.8287,4364
958724,5435174,9.5876,3978
1053515,4485998,9.314599,3528
834307,4277038,10.1186,4847
337718,6230214,9.5436,3907
584694,6793530,9.6073,4012
1057123,3224176,9.722,4197
940070,2754289,9.3498,3584
1047213,3630454,9.8282,4363
1069623,5237128,9.6593,4102
1035708,3962351,9.8928,4460
85042,279405,9.4012,3671
596611,2819891,9.7495,4240
980922,2947681,9.4525,3757
605987,727815,9.7793,4281
935406,4788862,9.8901,4451
74544,892883,9.962999,4573
169734,6151682,10.0347,4697
928886,5237636,10.0852,4791
283664,5893952,9.3468,3579
432592,6048586,9.4104,3689
783001,4803591,9.6177,4031
699776,4023417,9.9993,4639
985218,3077172,10.2539,5079
631868,5180762,9.3361,3563
900550,3226156,9.356599,3596
1034153,4506234,9.697199,4156
430034,4648638,10.2969,5159
787561,3994075,9.6498,4083
1047830,58995,9.7073,4173
1036063,2242066,10.3042,5170
938916,667646,9.6542,4095
1155673,1049337,9.7896,4293
1035932,3452954,10.2887,5142
1035814,3198887,10.1832,4967
1142061,2343175,9.425699,3709
1161595,455404,9.91,4492
960130,5409534,9.3451,3576
1042829,5322631,9.9233,4508
665944,3042016,9.6592,4101
961909,3653410,9.8418,4385
651421,5662525,9.7728,4267
886928,2689423,9.9644,4575
880408,3096709,9.3044,3513
1027313,3871562,10.2985,5160
658741,1338220,9.4612,3766
937377,6100001,9.987799,4617
838090,2525987,9.6318,4059
1138714,2663298,9.8219,4351
1147099,1864761,9.729499,4209
894307,2490535,9.7266,4205
279539,6431389,10.1431,4897
968883,3301935,10.0977,4809
1036398,3304762,10.3189,5191
337358,6634181,9.5183,3858
1137496,2780496,10.0902,4798
1150667,1525959,9.5639,3939
1038004,6098900,9.85,4394
7770,3790035,9.6252,4044
1030032,4081785,10.105199,4825
1049154,5975978,9.774697,4273
1030733,4601965,9.8057,4320
788584,6088722,9.6027,4002
968208,5277012,9.9162,4501
620243,3771210,9.9662,4577
1034011,3180882,9.361,3604
783986,2961662,9.8593,4407
274938,5853452,10.2038,5007
857950,2291552,9.5888,3979
215783,4518485,9.5619,3934
102222,103073,9.448099,3747
1040529,5323939,9.384,3642
979480,3466459,9.7068,4172
708030,157452,9.6388,4068
988263,4172318,9.6384,4067
786700,4081634,9.8007,4311
1003284,2983534,9.4407,3732
854435,2576313,10.2828,5131
91629,4983669,10.166199,4940
1185657,8741064,9.3226,3541
1040482,4332228,10.1049,4824
336491,6505786,9.5618,3933
909292,6145552,9.7796,4282
831168,3507783,10.0168,4671
211837,6265948,9.8669,4414
1031005,3526705,9.7737,4270
538037,7091,9.3211,3539
609846,2427827,9.8911,4457
822232,3457410,9.6135,4025
1137486,2781491,9.686899,4142
741740,2052512,9.84,4382
462142,6714659,10.3144,5188
214690,4398523,9.3637,3611
937774,3910708,9.8323,4368
762463,4588933,10.2991,5162
1041697,4437745,9.5925,3986
835938,3005357,10.025698,4684
993573,4558138,9.7463,4233
597026,3334046,9.4374,3729
489869,1114809,10.2493,5076
1056320,4809121,9.928199,4515
123058,309832,9.3008,3508
466765,491564,10.1739,4952
999499,4823441,9.7118,4180
539766,2045602,9.407,3685
1042427,5024781,9.520099,3864
443115,1811420,9.9689,4583
974355,2624440,9.8393,4380
1055807,4213332,9.9568,4559
1034093,2344268,9.9373,4526
450034,985871,10.0729,4772
1002725,4758474,10.2602,5093
1032469,5373981,9.5121,3848
1029779,5412903,9.4014,3673
1039021,4962265,10.1256,4859
1034316,2498377,9.81,4328
1058159,2445015,9.7265,4204
982586,4156875,9.3328,3560
1030587,2628787,9.6165,4029
930137,4758284,9.8877,4448
1032681,4111985,10.0613,4748
670965,334637,9.7361,4220
1032798,4556174,10.047,4724
124330,2313363,9.7408,4225
723317,663931,10.2894,5145
1063075,4885205,9.876,4427
215030,6381229,10.293497,5153
539661,2252104,9.9748,4595
434922,434827,10.0381,4707
97611,2809249,9.4742,3780
1054515,4918047,9.6219,4036
601762,5956778,9.7738,4271
1036143,4652812,10.0125,4658
1036511,3686787,10.1462,4903
937062,4407628,9.7926,4301
321845,3971160,9.7976,4304
1054852,2721750,9.444899,3741
531178,897857,10.1016,4817
48126,6014439,10.0989,4811
1035867,3677660,9.5238,3871
1137511,2779268,9.6752,4124
335945,6306705,10.1209,4855
951575,2658194,9.974198,4592
7188,6692906,10.1673,4943
960101,3162421,9.768,4261
479849,805737,10.1868,4977
775991,4414001,9.7904,4295
1002833,5332090,9.8371,4377
1044640,2355655,9.752898,4244
1055098,2759933,10.049998,4729
1157071,909865,10.2892,5144
888469,2265781,9.8263,4359
875114,3628287,10.0213,4675
583156,6281266,9.9314,4520
1045031,3325696,9.5031,3836
220532,1689117,9.4099,3688
1040438,4919958,9.9843,4610
1041187,2665527,10.1998,4995
18092,1702475,9.5642,3940
926315,3652308,10.2586,5089
905387,3211221,9.8738,4424
1137416,2787925,9.4737,3779
580345,5915545,9.4892,3810
923294,2710843,9.6041,4009
923124,3063065,10.101896,4820
941444,4901165,9.879097,4432
212914,268658,10.2023,5002
976495,3917129,9.6309,4058
171070,1446301,10.2898,5147
939292,3809254,9.3553,3593
650608,1339733,9.8812,4436
516116,4229831,10.0048,4646
336762,6395399,9.6577,4100
1036258,4356847,9.8114,4331
671765,448438,9.6896,4148
867619,3222309,9.3938,3654
31846,6253991,9.4807,3792
651034,1108130,9.6883,4145
287040,2344434,9.6087,4014
774757,6091466,9.6246,4043
1036448,4549539,9.7591,4256
841305,1422894,9.6703,4119
1035581,2404489,9.4178,3699
1053393,3306922,9.7105,4178
1054913,2665552,9.3045,3514
1033272,3531071,10.2798,5128
1033074,2674662,10.0203,4674
